city,time,temperature_c,precipitation_probability,windspeed_kmh
Dhaka,2026-04-12 00:00:00,24.2,0,5.1
Dhaka,2026-04-12 01:00:00,25.6,0,6.8
Dhaka,2026-04-12 02:00:00,26.6,0,10.6
Dhaka,2026-04-12 03:00:00,27.9,0,10.1
Dhaka,2026-04-12 04:00:00,29.6,0,10.3
Dhaka,2026-04-12 05:00:00,31.0,0,11.4
Dhaka,2026-04-12 06:00:00,32.3,3,12.1
Dhaka,2026-04-12 07:00:00,33.3,0,12.5
Dhaka,2026-04-12 08:00:00,33.8,0,12.0
Dhaka,2026-04-12 09:00:00,33.6,0,11.1
Dhaka,2026-04-12 10:00:00,32.8,0,8.1
Dhaka,2026-04-12 11:00:00,31.4,0,4.4
Dhaka,2026-04-12 12:00:00,29.6,0,4.1
Dhaka,2026-04-12 13:00:00,28.0,0,4.3
Dhaka,2026-04-12 14:00:00,27.0,0,4.4
Dhaka,2026-04-12 15:00:00,26.0,0,5.2
Dhaka,2026-04-12 16:00:00,25.4,0,5.8
Dhaka,2026-04-12 17:00:00,25.0,0,8.6
Dhaka,2026-04-12 18:00:00,24.8,0,7.4
Dhaka,2026-04-12 19:00:00,24.9,0,7.2
Dhaka,2026-04-12 20:00:00,24.7,0,6.6
Dhaka,2026-04-12 21:00:00,24.7,0,6.9
Dhaka,2026-04-12 22:00:00,24.6,0,7.1
Dhaka,2026-04-12 23:00:00,24.7,0,6.6
Dhaka,2026-04-13 00:00:00,24.7,0,6.4
Dhaka,2026-04-13 01:00:00,25.4,0,6.9
Dhaka,2026-04-13 02:00:00,26.2,0,10.0
Dhaka,2026-04-13 03:00:00,27.3,0,9.7
Dhaka,2026-04-13 04:00:00,28.9,0,9.7
Dhaka,2026-04-13 05:00:00,30.0,0,9.0
Dhaka,2026-04-13 06:00:00,31.2,0,8.6
Dhaka,2026-04-13 07:00:00,32.3,0,10.5
Dhaka,2026-04-13 08:00:00,32.8,8,10.2
Dhaka,2026-04-13 09:00:00,33.2,5,9.3
Dhaka,2026-04-13 10:00:00,32.8,13,7.1
Dhaka,2026-04-13 11:00:00,32.0,3,4.3
Dhaka,2026-04-13 12:00:00,30.6,3,3.3
Dhaka,2026-04-13 13:00:00,28.8,3,4.7
Dhaka,2026-04-13 14:00:00,27.7,3,6.3
Dhaka,2026-04-13 15:00:00,27.4,0,8.3
Dhaka,2026-04-13 16:00:00,27.0,3,9.8
Dhaka,2026-04-13 17:00:00,26.1,0,9.3
Dhaka,2026-04-13 18:00:00,25.4,0,7.9
Dhaka,2026-04-13 19:00:00,25.0,0,7.1
Dhaka,2026-04-13 20:00:00,24.8,0,4.0
Dhaka,2026-04-13 21:00:00,24.5,0,3.8
Dhaka,2026-04-13 22:00:00,24.5,8,3.4
Dhaka,2026-04-13 23:00:00,24.6,15,1.5
Dhaka,2026-04-14 00:00:00,24.6,23,1.1
Dhaka,2026-04-14 01:00:00,25.0,24,5.7
Dhaka,2026-04-14 02:00:00,26.1,23,7.3
Dhaka,2026-04-14 03:00:00,27.6,23,7.2
Dhaka,2026-04-14 04:00:00,28.4,27,7.6
Dhaka,2026-04-14 05:00:00,30.2,33,7.7
Dhaka,2026-04-14 06:00:00,31.7,35,7.8
Dhaka,2026-04-14 07:00:00,32.7,29,7.8
Dhaka,2026-04-14 08:00:00,33.2,18,7.1
Dhaka,2026-04-14 09:00:00,33.3,10,6.6
Dhaka,2026-04-14 10:00:00,32.8,6,5.9
Dhaka,2026-04-14 11:00:00,32.2,4,3.4
Dhaka,2026-04-14 12:00:00,30.7,3,2.6
Dhaka,2026-04-14 13:00:00,29.0,2,3.9
Dhaka,2026-04-14 14:00:00,27.6,1,3.5
Dhaka,2026-04-14 15:00:00,27.1,0,2.8
Dhaka,2026-04-14 16:00:00,27.1,0,8.6
Dhaka,2026-04-14 17:00:00,24.9,0,6.5
Dhaka,2026-04-14 18:00:00,25.2,0,6.6
Dhaka,2026-04-14 19:00:00,25.1,0,6.4
Dhaka,2026-04-14 20:00:00,24.8,0,5.7
Dhaka,2026-04-14 21:00:00,24.6,0,5.6
Dhaka,2026-04-14 22:00:00,24.6,0,5.4
Dhaka,2026-04-14 23:00:00,24.7,0,4.9
Dhaka,2026-04-15 00:00:00,24.6,0,4.7
Dhaka,2026-04-15 01:00:00,25.6,0,5.4
Dhaka,2026-04-15 02:00:00,26.8,1,9.6
Dhaka,2026-04-15 03:00:00,28.1,2,10.3
Dhaka,2026-04-15 04:00:00,29.4,2,10.9
Dhaka,2026-04-15 05:00:00,30.9,3,11.2
Dhaka,2026-04-15 06:00:00,31.9,3,10.0
Dhaka,2026-04-15 07:00:00,32.9,3,9.7
Dhaka,2026-04-15 08:00:00,33.6,3,9.4
Dhaka,2026-04-15 09:00:00,33.8,3,8.8
Dhaka,2026-04-15 10:00:00,33.2,3,7.0
Dhaka,2026-04-15 11:00:00,32.1,3,4.6
Dhaka,2026-04-15 12:00:00,30.9,3,3.7
Dhaka,2026-04-15 13:00:00,29.8,3,5.1
Dhaka,2026-04-15 14:00:00,28.6,3,8.1
Dhaka,2026-04-15 15:00:00,27.6,3,10.0
Dhaka,2026-04-15 16:00:00,26.9,3,9.4
Dhaka,2026-04-15 17:00:00,26.4,3,8.3
Dhaka,2026-04-15 18:00:00,26.1,3,7.4
Dhaka,2026-04-15 19:00:00,25.8,3,7.3
Dhaka,2026-04-15 20:00:00,25.6,2,7.3
Dhaka,2026-04-15 21:00:00,25.4,2,6.8
Dhaka,2026-04-15 22:00:00,25.1,1,5.4
Dhaka,2026-04-15 23:00:00,24.8,0,4.7
Dhaka,2026-04-16 00:00:00,25.0,0,5.1
Dhaka,2026-04-16 01:00:00,25.8,0,6.4
Dhaka,2026-04-16 02:00:00,27.0,0,8.8
Dhaka,2026-04-16 03:00:00,28.2,0,10.4
Dhaka,2026-04-16 04:00:00,29.4,0,10.4
Dhaka,2026-04-16 05:00:00,30.6,0,9.8
Dhaka,2026-04-16 06:00:00,31.6,0,9.1
Dhaka,2026-04-16 07:00:00,32.6,0,8.6
Dhaka,2026-04-16 08:00:00,33.5,1,8.3
Dhaka,2026-04-16 09:00:00,33.8,2,7.6
Dhaka,2026-04-16 10:00:00,33.1,2,6.6
Dhaka,2026-04-16 11:00:00,31.8,3,5.9
Dhaka,2026-04-16 12:00:00,30.6,3,5.8
Dhaka,2026-04-16 13:00:00,29.7,3,6.4
